nacl,NH4_ugL,SRP_ugL,mass_g,ind,pop,FV3,SVL_mm
0,110.291,33.749,0.2141,1,SEWC,RV,10.17
0,85.04,48.439,0.2352,2,SEWC,RV,10.44
0,82.432,36.06,0.2346,3,SEWC,RV,10.94
0,52.389,27.22,0.1183,4,SEWC,RV,8.74
0,75.51,34.182,0.2202,5,SEWC,RV,10.79
0,138.576,54.186,0.199,6,RRG,RV,10.61
0,107.217,31.559,0.1763,7,RRG,RV,11.11
0,110.193,29.641,0.1313,8,RRG,RV,9.54
0,116.835,38.618,0.1579,9,RRG,RV,9.47
0,88.482,37.553,0.1392,10,RRG,RV,9.39
0,49.124,35.397,0.1341,11,SEWC,CTRL,9.09
0,74.131,21.192,0.1197,12,SEWC,CTRL,8.77
0,52.681,22.681,0.1004,13,SEWC,CTRL,8.36
0,82.149,23.976,0.1183,14,RRG,CTRL,10.5
0,129.307,49.813,0.1489,15,RRG,CTRL,9.56
250,63.16,22.953,0.0997,16,SEWC,RV,8.27
250,90.191,38.244,0.1438,17,SEWC,RV,9.21
250,72.948,42.171,0.2132,18,SEWC,RV,10.53
250,88.295,53.799,0.1842,19,SEWC,RV,10
250,100.458,51.427,0.2116,20,SEWC,RV,9.71
250,97.716,40.377,0.1643,21,RRG,RV,9.69
250,85.107,34.176,0.1287,22,RRG,RV,9.68
250,127.192,49.764,0.1575,23,RRG,RV,9.78
250,98.016,43.57,0.1384,24,RRG,RV,9.56
250,97.15,29.491,0.2,25,RRG,RV,10.32
250,72.737,45.535,0.1785,26,SEWC,CTRL,9.49
250,54.115,31.446,0.2234,27,SEWC,CTRL,10.84
250,81.115,56.313,0.1986,28,SEWC,CTRL,9.98
250,74.863,39.809,0.1611,29,RRG,CTRL,9.73
250,30.679,20.675,0.1573,30,RRG,CTRL,10.06
500,72.028,38.645,0.1497,31,SEWC,RV,9.67
500,99.817,49.008,0.146,32,SEWC,RV,9.25
500,70.065,41.972,0.2431,33,SEWC,RV,11.06
500,81.687,38.228,0.2117,34,SEWC,RV,9.94
